,cat__phrase_end_False,cat__phrase_end_True,remainder__imaweight,remainder__pitch40,remainder__restduration_frac,remainder__duration,remainder__beatinphrase,remainder__beatinphrase_end,remainder__beatstrength,remainder__gpr2b_Frankland,remainder__gpr_Frankland_sum,remainder__lbdm_srest,remainder__lbdm_boundarystrength
cat__phrase_end_False,1.0,-1.0000000000000002,-0.18683997861070056,0.12293822777293884,-0.2531515541610815,-0.39735091935193245,-0.1716621915076059,-0.2805175317738006,-0.1703528148965735,-0.2918099433521632,-0.2553841951798037,-0.34785110473919945,-0.4915673311121684
cat__phrase_end_True,-1.0000000000000002,1.0,0.18683997861069992,-0.12293822777293732,0.25315155416108204,0.3973509193519325,0.171662191507604,0.2805175317738024,0.17035281489657353,0.2918099433521633,0.255384195179804,0.3478511047391991,0.4915673311121696
remainder__imaweight,-0.18683997861070056,0.18683997861069992,1.0,-0.035947748545741065,0.05993512057661489,0.34757227139168906,-0.05141111845257954,0.02683205845181007,0.6651947429692703,-0.02225876745892535,0.1451260807542946,0.09006669764439627,0.30451974735583665
remainder__pitch40,0.12293822777293884,-0.12293822777293732,-0.035947748545741065,1.0,-0.052118016496483864,-0.06196654257699589,0.06886825472195694,-0.12425175065428179,-0.009215323884649611,0.007010107360786232,-0.04062013081949946,-0.06133361405966429,-0.1077879536630271
remainder__restduration_frac,-0.2531515541610815,0.25315155416108204,0.05993512057661489,-0.052118016496483864,1.0,0.17093036894152688,0.025705675154950456,0.05033331984903031,0.07833831388767905,,0.112505269685295,0.6582507596288085,0.31339408594915386
remainder__duration,-0.39735091935193245,0.3973509193519325,0.34757227139168906,-0.06196654257699589,0.17093036894152688,1.0,0.04483742837117748,0.05694181410231161,0.5001581398954745,0.41932384090352726,0.3064157731141655,0.16858853195462173,0.580000080950034
remainder__beatinphrase,-0.1716621915076059,0.171662191507604,-0.05141111845257954,0.06886825472195694,0.025705675154950456,0.04483742837117748,1.0,0.043711557900683415,0.026793908574008447,0.13217523118238217,0.030100736226215535,0.04317882841305815,0.03360430548512834
remainder__beatinphrase_end,-0.2805175317738006,0.2805175317738024,0.02683205845181007,-0.12425175065428179,0.05033331984903031,0.05694181410231161,0.043711557900683415,1.0,-0.07145584906784419,0.05824221789000102,0.057279521499582216,0.06611113626909708,0.1183511804151522
remainder__beatstrength,-0.1703528148965735,0.17035281489657353,0.6651947429692703,-0.009215323884649611,0.07833831388767905,0.5001581398954745,0.026793908574008447,-0.07145584906784419,1.0,0.04943123761644414,0.1955465919902929,0.09675775079829768,0.33711439341024957
remainder__gpr2b_Frankland,-0.2918099433521632,0.2918099433521633,-0.02225876745892535,0.007010107360786232,,0.41932384090352726,0.13217523118238217,0.05824221789000102,0.04943123761644414,1.0,0.36896424019404833,,0.47421876096049637
remainder__gpr_Frankland_sum,-0.2553841951798037,0.255384195179804,0.1451260807542946,-0.04062013081949946,0.112505269685295,0.3064157731141655,0.030100736226215535,0.057279521499582216,0.1955465919902929,0.36896424019404833,1.0,0.10866731370551541,0.573685955548096
remainder__lbdm_srest,-0.34785110473919945,0.3478511047391991,0.09006669764439627,-0.06133361405966429,0.6582507596288085,0.16858853195462173,0.04317882841305815,0.06611113626909708,0.09675775079829768,,0.10866731370551541,1.0,0.4904302468200534
remainder__lbdm_boundarystrength,-0.4915673311121684,0.4915673311121696,0.30451974735583665,-0.1077879536630271,0.31339408594915386,0.580000080950034,0.03360430548512834,0.1183511804151522,0.33711439341024957,0.47421876096049637,0.573685955548096,0.4904302468200534,1.0
